id,mean_cc_gain,cross_raw,cross_denoised,cross_gain,zone,model
110,1.4156138944673113,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
54,1.4287785714933903,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
11,1.4413323272212921,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
109,1.6684976291045366,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
118,1.736214109479358,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
172,1.4497855221752423,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
137,1.9374491322278864,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
173,1.6368793373337713,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
48,1.6221614610390405,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
134,1.6661603673255398,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
4,1.5468235843855518,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
166,1.3717680232921938,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
153,1.9695452503795408,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
51,1.4829118247361528,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
63,1.4918661726285893,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
55,1.338383763657243,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
142,1.5238875012904247,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
28,1.571361744278137,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
92,1.4246081823410282,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
15,1.4456900618023816,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
93,1.631366382690166,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
159,1.3646269346918931,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
87,1.7129071707633219,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
29,1.3776998717564954,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
140,1.559688322150555,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
57,1.8494191924337653,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
115,1.4671823204410583,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
78,1.5299382901896952,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
136,1.5620870017367583,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
5,1.5148987662571867,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
133,1.7715435982977894,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
79,1.3017408294478678,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
19,1.3948725891569578,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
82,1.6217185809555328,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
47,1.5902761028705368,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
121,1.4555294691218792,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
162,1.348819878078689,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
117,1.3714695589256456,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
40,1.7948064219209379,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
65,1.3203789045752958,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
167,1.4827868363481034,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
7,1.7323628499119863,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
161,1.3463572137693567,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
102,1.444150961550328,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
175,1.6831568060131368,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
132,1.8906940721155656,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
50,1.4621370017394792,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
165,1.514378887779411,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
